date,document_type,eo_number,title,president,party,iso,country,China?
24.02.21,Executive Order,14017,America's Supply Chains,Joseph R. Biden,Democrat,CN,China,x
21.01.21,Executive Order,13998,Promoting COVID-19 Safety in Domestic and International Travel,Joseph R. Biden,Democrat,CN,China,
21.01.21,Executive Order,13994,Ensuring a Data-Driven Response to COVID-19 and Future High-Consequence Public Health Threats,Joseph R. Biden,Democrat,CN,China,
21.01.21,Executive Order,14001,A Sustainable Public Health Supply Chain,Joseph R. Biden,Democrat,CN,China,x
21.01.21,Executive Order,14000,Supporting the Reopening and Continuing Operation of Schools and Early Childhood Education Providers,Joseph R. Biden,Democrat,CN,China,
21.01.21,Executive Order,13999,Protecting Worker Health and Safety,Joseph R. Biden,Democrat,CN,China,
21.01.21,Executive Order,13996,Establishing the COVID-19 Pandemic Testing Board and Ensuring a Sustainable Public Health Workforce for COVID-19 and Other Biological Threats,Joseph R. Biden,Democrat,CN,China,
20.01.21,Executive Order,13988,Preventing and Combating Discrimination on the Basis of Gender Identity or Sexual Orientation,Joseph R. Biden,Democrat,CN,China,
20.01.21,Executive Order,13987,Organizing and Mobilizing the United States Government to Provide a Unified and Effective Response To Combat COVID-19 and To Provide United States Leadership on Global Health and Security,Joseph R. Biden,Democrat,CN,China,
18.01.21,Executive Order,13981,Protecting the United States From Certain Unmanned Aircraft Systems,Donald J. Trump,Republican,CN,China,x
13.01.21,Executive Order,13974,Amending Executive Order 13959—Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,Donald J. Trump,Republican,CN,China,x
05.01.21,Executive Order,13971,Addressing the Threat Posed by Applications and Other Software Developed or Controlled by Chinese Companies,Donald J. Trump,Republican,CN,China,x
08.12.20,Executive Order,13962,Ensuring Access to United States Government COVID-19 Vaccines,Donald J. Trump,Republican,CN,China,
12.11.20,Executive Order,13959,Addressing the Threat From Securities Investments That Finance Communist Chinese Military Companies,Donald J. Trump,Republican,CN,China,x
30.09.20,Executive Order,13953,Addressing the Threat to the Domestic Supply Chain From Reliance on Critical Minerals From Foreign Adversaries and Supporting the Domestic Mining and Processing Industries,Donald J. Trump,Republican,CN,China,x
08.08.20,Executive Order,13945,Fighting the Spread of COVID-19 by Providing Assistance to Renters and Homeowners,Donald J. Trump,Republican,CN,China,x
"2020-08-06,Executive Order,13943,""Addressing the Threat Posed by WeChat, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain"",Donald J. Trump,Republican,CN,China,x",,,,,,,,
"2020-08-06,Executive Order,13942,""Addressing the Threat Posed by TikTok, and Taking Additional Steps To Address the National Emergency With Respect to the Information and Communications Technology and Services Supply Chain"",Donald J. Trump,Republican,CN,China,x",,,,,,,,
03.08.20,Executive Order,13940,Aligning Federal Contracting and Hiring Practices With the Interests of American Workers,Donald J. Trump,Republican,CN,China,x
26.06.20,Executive Order,13931,Continuing the President's National Council for the American Worker and the American Workforce Policy Advisory Board,Donald J. Trump,Republican,CN,China,
28.05.20,Executive Order,13925,Preventing Online Censorship,Donald J. Trump,Republican,CN,China,x
19.05.20,Executive Order,13924,Regulatory Relief To Support Economic Recovery,Donald J. Trump,Republican,CN,China,x
14.05.20,Executive Order,13922,Delegating Authority Under the Defense Production Act of 1950 to the Chief Executive Officer of the United States International Development Finance Corporation To Respond to the COVID-19 Outbreak,Donald J. Trump,Republican,CN,China,x
28.04.20,Executive Order,13917,Delegating Authority Under the Defense Production Act of 1950 With Respect to Food Supply Chain Resources During the National Emergency Caused by the Outbreak of COVID-19,Donald J. Trump,Republican,CN,China,x
06.04.20,Executive Order,13914,Encouraging International Support for the Recovery and Use of Space Resources,Donald J. Trump,Republican,CN,China,
23.03.20,Executive Order,13910,Preventing Hoarding of Health and Medical Resources To Respond to the Spread of COVID–19,Donald J. Trump,Republican,CN,China,
20.12.17,Executive Order,13817,A Federal Strategy To Ensure Secure and Reliable Supplies of Critical Minerals,Donald J. Trump,Republican,CN,China,x
08.12.17,Executive Order,13816,Revising the Seal for the National Credit Union Administration,Donald J. Trump,Republican,CN,China,
21.07.17,Executive Order,13806,Assessing and Strengthening the Manufacturing and Defense Industrial Base and Supply Chain Resiliency of the United States,Donald J. Trump,Republican,CN,China,x
21.06.17,Executive Order,13802,Amending Executive Order 13597,Donald J. Trump,Republican,CN,China,
29.04.17,Executive Order,13796,Addressing Trade Agreement Violations and Abuses,Donald J. Trump,Republican,CN,China,x
29.04.17,Executive Order,13797,Establishment of Office of Trade and Manufacturing Policy,Donald J. Trump,Republican,CN,China,x
21.04.17,Executive Order,13789,Identifying and Reducing Tax Regulatory Burdens,Donald J. Trump,Republican,CN,China,
18.04.17,Executive Order,13788,Buy American and Hire American,Donald J. Trump,Republican,CN,China,x
